NumberOfPeople,AverageAge,NumberOfCompetitors,IsHistoricalPlace,AverageRentalPrice,Result
42148,27,20,1,2040,53
24071,27,36,1,2040,16
24499,27,17,1,2040,19
25213,27,22,0,2040,3
28358,27,8,0,2040,6
26072,27,9,0,2040,2
41182,28,6,1,1400,0
33177,28,19,1,1400,34
37109,28,17,0,1400,25
36057,28,4,0,1400,45
63607,28,4,0,1400,84
4221,32,0,0,1700,47
35555,32,12,0,1700,24
40871,32,17,0,1700,62
86710,32,9,0,1700,61
68616,32,8,0,1700,58
66003,32,10,0,1700,59
69118,32,5,0,1700,80
111356,32,17,0,1700,56
73794,30,4,0,1280,83
108216,30,21,0,1280,57
75059,30,6,0,1280,80
79703,30,5,0,1280,81
62430,30,3,0,1280,83
53947,30,6,0,1280,82
73727,30,3,0,1280,85
61022,34,4,0,1400,80
75890,34,10,0,1400,56
73239,34,17,0,1400,62
45321,34,8,0,1400,60
31762,34,4,0,1400,50
41102,34,7,0,1400,84
10257,34,1,0,1400,47
144801,31,5,0,1000,66
28360,31,4,0,1000,30
1264,31,0,0,1000,24
8828,31,1,0,1000,25
1582,31,0,0,1000,27
2138,31,0,0,1000,25
53088,32,1,0,1420,85
55811,32,20,0,1420,59
46940,32,16,0,1420,60
132893,32,13,0,1420,60
58813,32,5,0,1420,82
52573,33,3,1,880,76
70874,33,10,0,880,42
62439,33,8,0,880,41
51214,33,2,0,880,61
57687,33,3,0,880,66
37755,33,0,0,880,30
24549,33,3,0,880,29
44074,32,17,1,980,55
14776,33,3,1,830,38
39394,33,4,1,830,38
2181,33,0,0,830,27
1284,33,0,0,830,29
1674,33,0,0,830,26
8702,33,1,0,830,25
2571,33,0,0,830,28
273,33,0,0,830,24
723,33,1,0,830,27
1619,33,1,0,830,30
649,33,0,0,830,24
50858,29,9,1,1270,70
66727,29,10,0,1270,62
89600,29,4,0,1270,82
49755,29,8,1,1270,70
75656,29,8,0,1270,59
31345,38,7,0,1890,27
29359,38,1,0,1890,26
49045,38,5,0,1890,65
59337,38,8,0,1890,41
62129,38,3,0,1890,63
66462,38,6,0,1890,60
64997,38,8,0,1890,41
63900,38,11,0,1890,39
70935,38,5,0,1890,61
21018,27,15,1,1870,16
21833,27,10,1,1870,18
22576,27,13,1,1870,18
21924,27,9,1,1870,19
22986,27,7,0,1870,24
28770,27,8,1,1870,14
43209,26,6,1,950,75
76827,26,6,1,950,75
13632,26,3,0,950,30
5032,34,0,0,1830,24
4119,34,1,0,1830,30
137937,34,11,0,1830,40
58760,34,7,0,1830,61
88406,34,12,0,1830,39
96132,34,11,0,1830,41
109824,34,5,0,1830,62
43822,34,7,0,1830,63
16461,27,1,0,780,28
1565,27,0,0,780,27
101101,27,11,1,780,56
2646,27,1,0,780,30
49820,27,6,0,780,63
60014,31,4,0,1180,86
69117,31,8,0,1180,59
54343,31,7,0,1180,86
91835,31,9,0,1180,61
52616,31,3,0,1180,83
79645,31,5,0,1180,86
6993,31,34,1,2500,18
11791,31,39,1,2500,15
47344,31,23,1,2500,52
80696,31,28,1,2500,51
17493,31,13,1,2500,19
62357,31,31,1,2500,50
170361,27,112,1,2040,52
211132,28,50,1,1400,76
482450,32,78,0,1700,58
526876,30,48,0,1280,58
338593,34,51,0,1400,62
186973,31,10,0,1000,42
347545,32,55,0,1420,59
357091,33,29,0,880,39
44074,32,17,1,980,53
73846,33,10,0,830,41
332596,29,39,0,1270,61
497509,38,54,0,1890,39
139107,27,62,1,1870,56
133668,26,15,1,950,51
544032,34,54,0,1830,38
171593,27,19,0,780,42
407570,31,36,0,1180,62
226674,31,168,1,2500,50
5191690,34,907,1,1400,70
